
Case: TSV_Case
Working Points of the pumps: 
Pump ID, Flow[cum/h], Headloss[m], Error
0,60.6308415608,45.0807453284,-10.8399950569
1,29.2464132846,51.8380250623,0.0
2,48.2791717759,53.973683851,0.0
3,35.1535273313,48.7866422952,-3.60199505687

Pipe data for Pump-0
PipeLoss[m], Reynolds[-], Velocity[m/s]
6.78038240135,0.0,0.0
0.0425292168888,496635.422079,0.536366253185
1.02786774452,0.0,0.0
48.0699610225,1241588.5552,3.3522891006
0.0,0.0,0.0
0.0,0.0,0.0
Pipe data for Pump-1
PipeLoss[m], Reynolds[-], Velocity[m/s]
6.18157746115,0.0,0.0
0.00989522772599,239561.326084,0.258726230887
1.00648425153,0.0,0.0
44.6400681219,598903.315209,1.61703895182
0.0,0.0,0.0
0.0,0.0,0.0
Pipe data for Pump-2
PipeLoss[m], Reynolds[-], Velocity[m/s]
6.49481091783,0.0,0.0
0.0269659907482,395461.224607,0.427098120457
1.01766990645,0.0,0.0
46.434237036,988653.061515,2.66936326734
0.0,0.0,0.0
0.0,0.0,0.0
Pipe data for Pump-3
PipeLoss[m], Reynolds[-], Velocity[m/s]
6.26233483293,0.0,0.0
0.0142963857969,287947.296035,0.310983078176
1.00936812001,0.0,0.0
45.1026380133,719868.240087,1.94364424914
0.0,0.0,0.0
0.0,0.0,0.0
